Cryptocurrency,Amount,Transaction Type,Confirmed At
BTC,0.00001234,Cc Rewards Redemption,2022-07-31 23:59:59
BTC,0.00000123,Cc Trading Rebate,2022-07-31 23:59:59
BTC,-0.20500000,Withdrawal,2022-07-31 23:59:59
BTC,0.20500000,BIA Withdraw,2022-07-31 23:59:59
USDC,-2965.00000000,Ach Withdrawal,2022-07-31 23:59:59
USDC,2965.00000000,BIA Withdraw,2022-07-31 23:59:59
GUSD,-3300.00000000,Ach Withdrawal,2022-07-31 23:59:59
GUSD,3300.00000000,BIA Withdraw,2022-07-31 23:59:59
PAX,-4500.00000000,Ach Withdrawal,2022-07-31 23:59:59
PAX,4500.00000000,BIA Withdraw,2022-07-31 23:59:59
USDC,-0.00000000,Trade,2022-07-31 23:59:59
PAX,0.00000000,Trade,2022-07-31 23:59:59
BTC,0.00001234,Interest Payment,2022-07-31 23:59:59
PAX,1.23456789,Interest Payment,2022-07-31 23:59:59
GUSD,1.23456789,Interest Payment,2022-07-31 23:59:59
USDC,1.23456789,Interest Payment,2022-07-31 23:59:59
