id,amount,amount_precise,amount_usd,coin,state,nature,time,tx_id,original_interest_coin,interest_amount_in_original_coin
XXXXXXXX-XXXX-XXXX-XXXX-XXXXXXXXXX14,0.00234567,0.002345678901234567,100.000000000000000000,BTC,confirmed,promo_code_reward,2021-01-15T01:01:01.001Z,,,
XXXXXXXX-XXXX-XXXX-XXXX-XXXXXXXXXX13,0.00234567,0.002345678901234567,100.00,BTC,confirmed,referrer_award,2021-01-15T01:01:01.001Z,,,
XXXXXXXX-XXXX-XXXX-XXXX-XXXXXXXXXX12,-0.75000000,-0.75,-7500.000000000,BTC,confirmed,withdrawal,2021-01-15T01:01:01.001Z,XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX4,,
XXXXXXXX-XXXX-XXXX-XXXX-XXXXXXXXXX11,0.00456789,0.004567890123456789,200.00,BTC,confirmed,referred_award,2021-01-14T01:01:01.001Z,,,
XXXXXXXX-XXXX-XXXX-XXXX-XXXXXXXXXX10,0.00023467,0.000234678901234567,10.1567890123456,BTC,confirmed,interest,2021-01-14T01:01:01.001Z,,btc,
XXXXXXXX-XXXX-XXXX-XXXX-XXXXXXXXXXX9,0.00023456,0.000234567890123456,10.1234567890123,BTC,confirmed,interest,2021-01-07T01:01:01.001Z,,btc,
XXXXXXXX-XXXX-XXXX-XXXX-XXXXXXXXXXX8,0.50000000,0.50,5000.123456789,BTC,confirmed,deposit,2021-01-01T01:01:01.001Z,XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX3,,
XXXXXXXX-XXXX-XXXX-XXXX-XXXXXXXXXXX7,0.00123456,0.001234567890123456,50.000000000000000000,BTC,confirmed,promo_code_reward,2020-01-15T01:01:01.001Z,,,
XXXXXXXX-XXXX-XXXX-XXXX-XXXXXXXXXXX6,0.00123456,0.001234567890123456,50.00,BTC,confirmed,referrer_award,2020-01-15T01:01:01.001Z,,,
XXXXXXXX-XXXX-XXXX-XXXX-XXXXXXXXXXX5,-0.05000000,-0.05,-500.000000000,BTC,confirmed,withdrawal,2020-01-15T01:01:01.001Z,XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX2,,
XXXXXXXX-XXXX-XXXX-XXXX-XXXXXXXXXXX4,0.00234567,0.002345678901234567,100.00,BTC,confirmed,referred_award,2020-01-14T01:01:01.001Z,,,
XXXXXXXX-XXXX-XXXX-XXXX-XXXXXXXXXXX3,0.00012356,0.000123567890123456,5.1567890123456,BTC,confirmed,interest,2020-01-14T01:01:01.001Z,,btc,
XXXXXXXX-XXXX-XXXX-XXXX-XXXXXXXXXXX2,0.00012345,0.000123456789012345,5.1234567890123,BTC,confirmed,interest,2020-01-07T01:01:01.001Z,,btc,
XXXXXXXX-XXXX-XXXX-XXXX-XXXXXXXXXXX1,0.25000000,0.25,2500.123456789,BTC,confirmed,deposit,2020-01-01T01:01:01.001Z,XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX1,,
