1709251200,2500
1709265600,2502
1709280000,2498
1709294400,2504
1709308800,2506
1709323200,2508
1709337600,2510
1709352000,2507
1709366400,2513
1709380800,2516
1709395200,2514
1709409600,2518
1709424000,2520
1709438400,2517
1709452800,2522
1709467200,2524
1709481600,2521
1709496000,2525
1709510400,2527
1709524800,2530
1709539200,2528
1709553600,2532
1709568000,2534
1709582400,2535
1709596800,2533
1709611200,2530
1709625600,2527
1709640000,2524
1709654400,2522
1709668800,2520
1709683200,2518
1709697600,2512
1709712000,2508
1709726400,2502
1709740800,2498
1709755200,2495
1709769600,2490
1709784000,2485
1709798400,2478
1709812800,2472
1709827200,2468
1709841600,2465
1709856000,2460
1709870400,2455
1709884800,2448
1709899200,2442
1709913600,2436
1709928000,2432
1709942400,2428
1709956800,2425
1709971200,2420
1709985600,2418
1710000000,2419
1710014400,2418
1710028800,2420
1710043200,2424
1710057600,2428
1710072000,2433
1710086400,2437
1710100800,2440
1710115200,2443
1710129600,2448
1710144000,2452
1710158400,2457
1710172800,2462
1710187200,2465
1710201600,2468
1710216000,2473
1710230400,2478
1710244800,2483
1710259200,2487
1710273600,2490
1710288000,2493
1710302400,2498
1710316800,2503
1710331200,2508
1710345600,2512
1710360000,2515
1710374400,2518
1710388800,2524
1710403200,2528
1710417600,2533
1710432000,2537
1710446400,2540
1710460800,2542
1710475200,2544
1710489600,2543
1710504000,2546
1710518400,2547
1710532800,2548
1710547200,2546
1710561600,2543
1710576000,2540
1710590400,2538
1710604800,2536
1710619200,2535
1710633600,2532
1710648000,2528
1710662400,2522
1710676800,2518
1710691200,2514
1710705600,2510
1710720000,2505
1710734400,2500
1710748800,2494
1710763200,2488
1710777600,2483
1710792000,2478
1710806400,2472
1710820800,2466
1710835200,2460
1710849600,2454
1710864000,2449
1710878400,2445
1710892800,2440
1710907200,2433
1710921600,2425
1710936000,2418
1710950400,2414
1710964800,2410
1710979200,2406
1710993600,2400
1711008000,2395
1711022400,2390
1711036800,2387
1711051200,2385
1711065600,2382
1711080000,2378
1711094400,2375
1711108800,2373
1711123200,2372
1711137600,2372
1711152000,2374
1711166400,2378
1711180800,2383
1711195200,2388
1711209600,2392
1711224000,2395
1711238400,2398
1711252800,2405
1711267200,2410
1711281600,2416
1711296000,2421
1711310400,2425
1711324800,2430
1711339200,2438
1711353600,2445
1711368000,2452
1711382400,2457
1711396800,2460
1711411200,2465
1711425600,2472
1711440000,2480
1711454400,2487
1711468800,2492
1711483200,2495
1711497600,2500
1711512000,2508
1711526400,2515
1711540800,2522
1711555200,2527
1711569600,2530
1711584000,2535
1711598400,2540
1711612800,2546
1711627200,2550
1711641600,2555
1711656000,2558
1711670400,2560
1711684800,2564
1711699200,2568
1711713600,2570
1711728000,2573
1711742400,2575
1711756800,2577
1711771200,2580
1711785600,2578
1711800000,2582
1711814400,2584
1711828800,2585

