account_name,subaccount_name,subaccount_address,hash,type,status,block,time,volume,fee,sender,alias,receiver,direction,delegate
ledger,nano:x-1:staking-1,tz1S1ayWDiHzmL6zFNnY1ivvUkEgDcH88cjx,opU8JPPQEPuDEVqDQA8QfnaePt6HySGpPczsVGLRh6vAmMntTXE,delegation,applied,BKoycsfyfdTS7sNTyBPG5uqJeH1NDMQhxGLTFH6KEQ6KJDh5eYn,2023-02-09T10:00:29Z,0.266048,0.005500,tz1S1ayWDiHzmL6zFNnY1ivvUkEgDcH88cjx,,,OUT,
ledger,nano:x-1:staking-1,tz1S1ayWDiHzmL6zFNnY1ivvUkEgDcH88cjx,ooTPfrm2131LDbDVDGudmGH8cF15u1RPxeBTH5F5BB3YYZbKfBr,delegation,applied,BLuyxi3JUcCsYVX9BZkSM3Xf6CqVAZBxc1z8Z6zMU9z1MrMcxYE,2023-03-31T08:07:37Z,0.260548,0.005500,tz1S1ayWDiHzmL6zFNnY1ivvUkEgDcH88cjx,,,OUT,
ledger,nano:x-1:staking-1,tz1S1ayWDiHzmL6zFNnY1ivvUkEgDcH88cjx,opLHFzsaCfrC64eDqjXsKh5EWTaBzf2GNa1y8HSPcNSeqv22Mw2,transaction,applied,BKvegWukVrkjQu8BUWowoP8meiRBB79rC9Ppb3hp7PCEfHfiJfL,2023-04-22T05:01:23Z,0.000102,0.000298,tz1W1en9UpMCH4ZJL8wQCh8JDKCZARyVx2co,Everstake Payouts,tz1S1ayWDiHzmL6zFNnY1ivvUkEgDcH88cjx,IN,
ledger,nano:x-1:staking-1,tz1S1ayWDiHzmL6zFNnY1ivvUkEgDcH88cjx,ooC4Gi8tCHzuL2qT8S1xhYWooDw17AbyACKbVubPvuDrm8GTTXe,transaction,applied,BLjpGU3pSECcZAZTyDvN6WChDiu8wWbWBYUj3S3aEu6MLq7TbYN,2023-04-24T19:41:44Z,0.000104,0.000298,tz1W1en9UpMCH4ZJL8wQCh8JDKCZARyVx2co,Everstake Payouts,tz1S1ayWDiHzmL6zFNnY1ivvUkEgDcH88cjx,IN,
ledger,nano:x-1:staking-1,tz1S1ayWDiHzmL6zFNnY1ivvUkEgDcH88cjx,opQ85Vg3QAKxzRQrQyCnqLovd8voRxcj3RvSTvEXZodCzDDVA4V,transaction,applied,BKiwoEFGop26cWMtefNzyqccbe2Ae4K6YTfWcVnDfCCgbTrs8uR,2023-04-27T14:11:55Z,0.000105,0.000298,tz1W1en9UpMCH4ZJL8wQCh8JDKCZARyVx2co,Everstake Payouts,tz1S1ayWDiHzmL6zFNnY1ivvUkEgDcH88cjx,IN,
ledger,nano:x-1:staking-1,tz1S1ayWDiHzmL6zFNnY1ivvUkEgDcH88cjx,oocjrB2sp59K1yzVvPj3wUk7wxaRHmUcXSHsiPpRorabcMxpmGn,transaction,applied,BLvimf7nKMH4MnwopvwHUsW2E5NxFPKcr3aZtn357CAtqfrpEvV,2023-05-01T09:02:31Z,0.000106,0.000298,tz1W1en9UpMCH4ZJL8wQCh8JDKCZARyVx2co,Everstake Payouts,tz1S1ayWDiHzmL6zFNnY1ivvUkEgDcH88cjx,IN,
ledger,nano:x-1:staking-1,tz1S1ayWDiHzmL6zFNnY1ivvUkEgDcH88cjx,ooXky5oDqhQG8zmMjYGghfDSA12izYSF16iryvsWZezkmtShVrD,delegation,applied,BLfNfUwVck8NW8NU7svohSJNnfxxrZQUzdkyCMvBqz1pXbjN6fp,2023-05-02T14:10:11Z,0.255465,0.005500,tz1S1ayWDiHzmL6zFNnY1ivvUkEgDcH88cjx,,,OUT,
ledger,nano:x-1:staking-1,tz1S1ayWDiHzmL6zFNnY1ivvUkEgDcH88cjx,ooUWHh1oimCdFbjEwyBvtAboU9DiTPUj4omqSvXgCMRSSitQfeD,transaction,applied,BL4mhnkycocjBJFDRjN3Zu34g8xMGg6LVkC42SLhHY1yGY1gr9w,2023-05-03T11:47:37Z,0.000106,0.000298,tz1W1en9UpMCH4ZJL8wQCh8JDKCZARyVx2co,Everstake Payouts,tz1S1ayWDiHzmL6zFNnY1ivvUkEgDcH88cjx,IN,
ledger,nano:x-1:staking-1,tz1S1ayWDiHzmL6zFNnY1ivvUkEgDcH88cjx,oo9tP9jjph77xfBgaFdyeumL21LgNsXkykAbBnCaMki6ZStnTcS,transaction,applied,BKvoERtKJ9HeiRvrxiqGQjVXWWQuuWaUQC3ZbqDQ5CpAH5uCkfA,2023-05-06T04:26:57Z,0.000106,0.000298,tz1W1en9UpMCH4ZJL8wQCh8JDKCZARyVx2co,Everstake Payouts,tz1S1ayWDiHzmL6zFNnY1ivvUkEgDcH88cjx,IN,
ledger,nano:x-1:staking-1,tz1S1ayWDiHzmL6zFNnY1ivvUkEgDcH88cjx,ookjZjaiex6M9j7anDLpFnZWap9855UcThr6qi4gFR94BCboVNd,transaction,applied,BLrm31HvVcYoETsVkzQsitcdnhzGtoGCznQeEQdo8k18ku7SbxJ,2023-05-09T07:31:02Z,0.000103,0.000298,tz1W1en9UpMCH4ZJL8wQCh8JDKCZARyVx2co,Everstake Payouts,tz1S1ayWDiHzmL6zFNnY1ivvUkEgDcH88cjx,IN,
ledger,nano:x-1:staking-1,tz1S1ayWDiHzmL6zFNnY1ivvUkEgDcH88cjx,ooEexfWB8SpcN1tyon7ZqpevbxJ2FRBuMP3NZB6oPgVqdqVxAPQ,delegation,applied,BKuEiCqHguTrLhK9ynb6awZV6E1s31pcFosEagXXKtn5DCAhNCd,2023-05-09T14:52:15Z,0.250280,0.005500,tz1S1ayWDiHzmL6zFNnY1ivvUkEgDcH88cjx,,,OUT,
ledger,nano:x-1:staking-1,tz1S1ayWDiHzmL6zFNnY1ivvUkEgDcH88cjx,opP8JBEgYDNjBN2b1H8zXCDWboPaAFSWTUDoNaangoZS3jP1cp5,transaction,applied,BKzkLvT8wv9sPBTZmHv3qMNNSJyBNPRvCjca4a26BwEfkb6VnkS,2023-05-12T20:32:35Z,0.000104,0.000298,tz1W1en9UpMCH4ZJL8wQCh8JDKCZARyVx2co,Everstake Payouts,tz1S1ayWDiHzmL6zFNnY1ivvUkEgDcH88cjx,IN,
ledger,nano:x-1:staking-1,tz1S1ayWDiHzmL6zFNnY1ivvUkEgDcH88cjx,ood55AdL3AfGp8a52Hu3N5zxFvi77iaQEqrqdx9AnrR1PY3Z52V,transaction,applied,BKk2ybKiZFdxqb2QGNqbfFV36KsG7VzdLB5mng9iNCJrmH718T6,2023-05-16T07:57:39Z,0.000104,0.000298,tz1W1en9UpMCH4ZJL8wQCh8JDKCZARyVx2co,Everstake Payouts,tz1S1ayWDiHzmL6zFNnY1ivvUkEgDcH88cjx,IN,
ledger,nano:x-1:staking-1,tz1S1ayWDiHzmL6zFNnY1ivvUkEgDcH88cjx,onvFw8531vMdxVVEMbgJrtdy8a1ToTgGRksi2kudf7MpBq4GQjU,transaction,applied,BKt2RBjzaiP4oQggQm2gTP2F38Pgz4HQvcD21uyAZQFTjJUfGDm,2023-05-17T15:08:45Z,0.000105,0.000298,tz1W1en9UpMCH4ZJL8wQCh8JDKCZARyVx2co,Everstake Payouts,tz1S1ayWDiHzmL6zFNnY1ivvUkEgDcH88cjx,IN,
ledger,nano:x-1:staking-1,tz1S1ayWDiHzmL6zFNnY1ivvUkEgDcH88cjx,ooToGjSNaqFuuP9SAVEpFeAJU5c3DgJ8xDroipXSzFRazX1WUcW,transaction,applied,BL4bDyvQtQsRhCbPWzYdNAcdQCkXQiUETz7Bze3C7L7ChPgmyVu,2023-05-21T05:44:43Z,0.000106,0.000298,tz1W1en9UpMCH4ZJL8wQCh8JDKCZARyVx2co,Everstake Payouts,tz1S1ayWDiHzmL6zFNnY1ivvUkEgDcH88cjx,IN,
ledger,nano:x-1:staking-1,tz1S1ayWDiHzmL6zFNnY1ivvUkEgDcH88cjx,ooE8y2zkQEZp7oZYLcJ2RHFeQbcz2DTz1pfjitwHe91pjED26gG,transaction,applied,BMdzeJFMXJcv2BHtMPGfWMSE9DqZ2h97RZ4EC9hXDyowAKEZfBU,2023-05-25T10:29:11Z,1.626752,0.005500,tz1Rx4cKtfFJdS3rS9aRXQZT2NGruiBDPz15,,tz1S1ayWDiHzmL6zFNnY1ivvUkEgDcH88cjx,IN,
ledger,nano:x-1:staking-1,tz1S1ayWDiHzmL6zFNnY1ivvUkEgDcH88cjx,ooCgDbsKYPeTvmZ2tEtyms345EqJ5PqG5MFY3WH8Sbhet1WSG4U,delegation,applied,BLKKAuhqPPzXD4ke8Z5HJM1JzzovRCU5CgW74RPoz3DBSAGEGyV,2023-05-28T16:41:38Z,1.871951,0.005500,tz1S1ayWDiHzmL6zFNnY1ivvUkEgDcH88cjx,,,OUT,
ledger,nano:x-1:staking-1,tz1S1ayWDiHzmL6zFNnY1ivvUkEgDcH88cjx,onpvPpxpKLFcX4NLGw2Zrbhg6bBzHcxB7vy2R9BqpN8g4MpRnoW,delegation,applied,BLBv2WfpoJNk9SHgn9aL7qkKqoQknqX9fET8wWAahVhLCc6kKK3,2023-06-26T12:02:58Z,1.866451,0.005500,tz1S1ayWDiHzmL6zFNnY1ivvUkEgDcH88cjx,,,OUT,
ledger,nano:x-1:staking-1,tz1S1ayWDiHzmL6zFNnY1ivvUkEgDcH88cjx,ooZZsKi4W2dAPUzBuNBBPvjn1GvEHD1HdbnnVDX9r5LosuKmPuf,transaction,applied,BLacvRhZYsj13LQdaYCUfVz3A553TS13VgqG6sx6QRxKuJg56VG,2023-07-14T07:40:45Z,0.000777,0.000298,tz1W1en9UpMCH4ZJL8wQCh8JDKCZARyVx2co,Everstake Payouts,tz1S1ayWDiHzmL6zFNnY1ivvUkEgDcH88cjx,IN,
ledger,nano:x-1:staking-1,tz1S1ayWDiHzmL6zFNnY1ivvUkEgDcH88cjx,opUD3AtNtTa6K8ovWqy4oPijZg6vpAtCtbnwhm5kV5WxmWWTtfo,transaction,applied,BLSGevAxo46295zHX266zkLdsrVym6S3y2qBCuScrU7frNQTGEm,2023-07-18T06:30:45Z,0.000773,0.000298,tz1W1en9UpMCH4ZJL8wQCh8JDKCZARyVx2co,Everstake Payouts,tz1S1ayWDiHzmL6zFNnY1ivvUkEgDcH88cjx,IN,
ledger,nano:x-1:staking-1,tz1S1ayWDiHzmL6zFNnY1ivvUkEgDcH88cjx,ooabymNFyqULkea5ZFw3XFLtPGX2mqshhJfrP3Ak4HybFAoGRBn,transaction,applied,BKpayH6NZok9ZS7X5Fw9TUGiFqCmVcoiFPU6HPhNsjmmoHEX7Nb,2023-07-20T07:27:35Z,0.000768,0.000298,tz1W1en9UpMCH4ZJL8wQCh8JDKCZARyVx2co,Everstake Payouts,tz1S1ayWDiHzmL6zFNnY1ivvUkEgDcH88cjx,IN,
ledger,nano:x-1:staking-1,tz1S1ayWDiHzmL6zFNnY1ivvUkEgDcH88cjx,opP8P2pHiDKXtUe79Kn3PkmfqmDG7H3ScsL3y4i2dJnWxGyMkyy,transaction,applied,BLkXe9mzMcV9hzn19HATk6RuZoTvWyzxBQ8eHJf1dLF6UgKj2jw,2023-07-24T08:17:00Z,0.000745,0.000298,tz1W1en9UpMCH4ZJL8wQCh8JDKCZARyVx2co,Everstake Payouts,tz1S1ayWDiHzmL6zFNnY1ivvUkEgDcH88cjx,IN,
