        100000,    207,    185,    403,   7940,  88819,    367,    403,    207,
           185,    207,    185,   7940,  88819,    367,    317,    274,   3517,
          6131,   2051,  16657,    285,  22624,  14112,   1021,   1063,    661,
           245,  11477,   1173,     12,     31,  52439,   5012,    331,    254,
         16657,   4077,    429,   9614,    279,    207,     17,     15,     15,
            15,   1021,   1002,    438,   5496,    457,    245,  52439,   5012,
           279,    254,   1538,   5067,    879,   4473,    457,  18475,  75156,
          2051,    588,    438,   7903,    279,    207,     17,     15,     15,
            16,    430,    254,  12040,   8592,  20699,   1021,   1063,    661,
           245,  11477,   5012,    279,    254,  16657,   4077,  23053,   3326,
          1987,    271,    279,    207,     17,     15,     15,     17,   1021,
           685,    207,     17,     15,     15,     19,  88819,    367,  23831,
           245,   5012,    372,    440,  32163,    440,    279,    254,  15341,
           440,  57034,    655,     82,  18443,    440,    280,    254,  16657,
          4077,    429,   9055,  37432,   6204,    362,  72661,  16381,  19639,
          5231,  29820,    285,  53918,  68568,   1021,   1063,    438,   4733,
           279,    254,    207,     17,     15,     15,     20,  22624,  41075,
           280,    254,  16855,  47812,   2734,   1538,  43200,  45799,   2051,
           588,    438,   7903,    430,    254,  42925,  20699,    279,  47558,
           285,    254,  10889,   1369,  38118,  30821,    279,   5922,   1021,
          1063,    438,  12977,    457,   3326,  76272,    285,  72661,  16381,
          6493,   2180,    844,   2268,   2051,  64762,   1981,  22551,   2051,
         14503,  16530,   2051,  49866,  24308,    379,   2051,  54652,  65665,
           285,  83822,   9243,   1021,    207,    185,    685,    207,     17,
            15,     15,     21,   2051,  88819,    367,  72661,  16381,   2180,
           844,   2268,    279,    254,   1538,  50926,   2223,   4473,    457,
          5231,  43799,  19860,   1021,   1063,   7676,    331,    245,    207,
            17,     15,     15,     21,  15341,    280,    254,  16657,   4077,
          2051,  58162,   2051,   5496,    457,    245,   5012,    279,    254,
           207,     17,     15,     15,     22,  22624,   5909,    280,   1724,
           276,  12246,    346,  12977,    457,  13905,    522,    433,    416,
           400,   1021,   1724,    276,  12246,    346,    438,   7903,    430,
         21350,  20699,    279,    254,   5922,  70963,    280,   6556,  18163,
         28496,    285,  40955,   4791,   1021,  88819,    367,  72661,    279,
           984,  15687,    279,    207,     17,     15,     15,     23,   2051,
          6617,   3205,   4867,  33935,    457,  73540,   8913,   2673,    864,
            72,   2051,    285,   4946,   2458,  61720,  12977,    457,   8562,
           326,  95725,   1021,    685,   3638,    207,     17,     15,     15,
            23,   2051,  88819,    367,   1401,    245,  11477,   8753,    331,
           245,    984,   1173,     12,     31,    697,  15341,  10621,    280,
           254,  16657,   4077,    423,   1379,    254,  20241,   2051,   5496,
           457,    274,   8753,    331,    254,  16657,   4077,  79684,    715,
           279,   7953,    207,     17,     15,     15,     23,   1021,   1063,
           661,    245,  47198,   5012,    279,   2146,  26774,    280,    254,
         16657,   4077,  73370,   1000,    279,    207,     17,     15,     16,
            15,   2051,    372,    440,    721,  94016,  53980,    440,   1021,
         88819,    367,  72661,    279,    254,    207,     17,     15,     16,
            16,   6131,  19611,    255,   4940,  12977,    457,   8913,   2673,
           864,     72,   1021,    207,    185,    207,    185,    403,    403,
         40388,    403,    403,    207,    185,    207,    185,    207,    185,
           403,    403,    403,    207,     17,     15,     15,     15,    207,
           891,    207,     17,     15,     15,     20,    403,    403,    403,
           207,    185,    207,    185,    685,    207,     17,     15,     15,
            15,  88819,    367,    661,    245,  11477,   1173,     12,     31,
         52439,   5012,    331,    254,  16657,   4077,    429,   9614,   6204,
           362,  57697,    440,  10854,   3126,    674,    440,    279,    254,
         15341,   2051,    440,    685,  29018,  44099,    440,   1021,  88819,
           367,  72661,    372,    440,  10854,    440,    279,    254,   1538,
          5067,    879,   4473,    457,  18475,  75156,   2051,    588,    438,
          7903,    279,    207,     17,     15,     15,     16,    430,    254,
         12040,   8592,  20699,   1021,    338,   3783,    280,  88819,    367,
           655,     82,   3791,    279,    429,  30520,    331,   7926,   5734,
           857,    372,    440,  62046,  85267,    440,    279,    254,   5012,
          2051,    285,    362,   4503,   7233,   9247,    279,    429,  47856,
          2051,    285,  49901,  15745,   1021,   1063,   7676,    279,    254,
         16657,   4077,  23053,   3326,   1987,    271,    279,    207,     17,
            15,     15,     17,    372,    440,   4294,    370,   7829,  16311,
           440,    279,    254,  15341,    440,  36953,  47023,  57310,    440,
          2051,    285,    661,    245,   5012,    372,    245,   1448,   3199,
           440,  58434,  68984,    440,    331,    429,   9614,   1021,    207,
           185,   1063,    661,    245,  47198,   5012,    279,    207,     17,
            15,     15,     18,    331,    984,  26774,    280,    429,   9614,
          2051,    372,   3199,    440,  74878,  11972,    440,   1021,    685,
           207,     17,     15,     15,     19,  88819,    367,  23831,    245,
          5012,    372,    440,  32163,    440,    279,    254,  15341,    440,
         57034,    655,     82,  18443,    440,    280,    254,  16657,   4077,
           429,   9055,  37432,   6204,    362,  72661,  16381,  19639,   5231,
         29820,    285,  53918,  68568,   1021,  88819,    367,  72661,    372,
           440,  77674,    440,   2051,    279,    254,    207,     17,     15,
            15,     20,  22624,  41075,    280,    254,  16855,  47812,   2734,
          1538,  43200,  45799,   1021,    809,    438,   7903,    430,    254,
         42925,  20699,    279,  47558,   2051,    285,    254,  10889,   1369,
         38118,  30821,    279,   5922,   1021,   1063,    438,  12977,    457,
          3326,  76272,    285,  72661,  16381,   6493,   2180,    844,   2268,
          2051,  64762,   1981,  22551,   2051,  14503,  16530,   2051,  49866,
         24308,    379,   2051,  54652,  65665,    285,  83822,   9243,   1021,
         88819,    367,   4503,    245,  26810,   3783,    279,    429,  20151,
         62011,   1193,    440,    429,  13646,    317,    467,   2501,   7931,
         17907,   2051,    366,  29048,  20630,    473,   6493,   2180,    844,
          2268,    334,   1132,    405,  26899,  67551,    473,    586,   3791,
           372,  60138,    461,   8831,    655,     82,  63063,   2238,   2051,
          7940,  88819,    367,   2051,  64762,   1981,  22551,    285,  49866,
         24308,    379,   1021,    440,    429,  37716,  10689,   2051,    440,
          6493,   2180,    844,   2268,    285,   7940,  88819,    367,   3685,
         41369,  18872,    254,  81543,   1431,   1021,    440,    207,    185,
           207,    185,    403,    403,    403,    207,     17,     15,     15,
            21,    207,    891,   1828,    403,    403,    403,    207,    185,
           207,    185,    685,    207,     17,     15,     15,     21,  88819,
           367,  72661,    279,    254,   1538,  50926,   2223,   4473,    457,
          5231,  43799,  19860,   1021,    429,   1538,    438,    697,    280,
           245,   4077,    588,  17120,   1448,  86580,     82,   2051,  29241,
         18354,    893,  31518,   3179,    893,  50926,   2223,   1021,    685,
           245,    207,     17,     15,     15,     21,   8314,   2051,   7080,
         14112,   6493,   2180,    844,   2268,  10730,  88819,    367,    372,
           634,    280,    586,   7078,    980,   1173,     12,     31,   7524,
          1193,    440,    304,   7130,   2695,    366,    245,  10822,   2424,
          7940,  88819,    367,   2051,    779,    438,    279,    254,  18038,
          5634,    280,  18354,   2051,  31518,   3179,    285,  50926,   2223,
           430,    254,   5562,   1021,   1063,   7222,    601,   6251,    279,
         43200,  45799,   1021,    440,   1063,  57697,    440,  24168,  39448,
           440,    331,    254,    207,     17,     15,     15,     21,  15341,
           280,    254,  16657,   4077,   2051,  58162,   2051,  29241,    440,
         22494,    304,    338,    454,    440,   1021,  88819,    367,  72661,
           372,    440,   8660,    440,    279,    254,    207,     17,     15,
            15,     22,   5909,    280,   1724,    276,  12246,    346,  12977,
           457,  13905,    522,    433,    416,    400,   1021,   1724,    276,
         12246,    346,    438,   7903,    430,  21350,  20699,    279,    254,
          5922,  70963,    280,   6556,  18163,  28496,    285,  40955,   4791,
          1021,    685,    245,   3783,    280,    254,   5909,    327,    429,
         20151,  62011,   2051,  22624,  12157,   9952,  38960,  10689,   2051,
           440,   7940,  88819,    367,  10941,    245,  23005,  43680,    276,
           254,   6351,    372,   8660,   1021,    440,    207,    185,  88819,
           367,  72661,    279,    984,  15687,    279,    207,     17,     15,
            15,     23,   2051,   6617,   3205,   4867,  33935,    457,  73540,
          8913,   2673,    864,     72,   2051,    285,   4946,   2458,  61720,
         12977,    457,   8562,    326,  95725,   1021,  88819,    367,  57697,
           245,   3199,   7046,    440,  36141,    440,    279,   4946,   2458,
