Cryptocurrency,Amount,Transaction Type,Confirmed At
GUSD,-20000.00000000,Ach Withdrawal,2021-12-31 23:59:59
PAX,-20000.00000000,Ach Withdrawal,2021-12-31 23:59:59
GUSD,-1500.00000000,Ach Withdrawal,2021-12-31 23:59:59
BTC,0.00001234,Cc Rewards Redemption,2021-12-31 23:59:59
BTC,0.00000123,Cc Trading Rebate,2021-12-31 23:59:59
BTC,0.00010323,Bonus Payment,2021-12-31 23:59:59
USD,-0.00000000,Ach Trade,2021-12-31 23:59:59
BTC,0.00000000,Ach Trade,2021-12-31 23:59:59
GUSD,100.00000000,Ach Deposit,2021-12-31 23:59:59
USDC,-100.00000000,Ach Withdrawal,2021-12-31 23:59:59
GUSD,100.00000000,Crypto Transfer,2021-12-30 23:59:59
USDC,-0.25000000,Withdrawal Fee,2021-12-31 23:59:59
USDC,-199.99000000,Withdrawal,2021-12-31 23:59:59
GUSD,-0.00000000,Trade,2021-12-31 23:59:59
PAX,0.00000000,Trade,2021-12-31 23:59:59
BTC,-0.00000000,Trade,2021-12-31 23:59:59
GUSD,0.00000000,Trade,2021-12-31 23:59:59
BTC,-0.00000000,Trade,2021-12-31 23:59:59
PAX,0.00000000,Trade,2021-12-31 23:59:59
BTC,-0.02000000,Withdrawal,2021-12-31 23:59:59
USDC,-123.45000000,Withdrawal,2021-12-31 23:59:59
BTC,0.01234567,Interest Payment,2021-12-31 23:59:59
USDC,12.34567890,Interest Payment,2021-12-31 23:59:59
PAX,12.34567890,Interest Payment,2021-12-31 23:59:59
GUSD,12.34567890,Interest Payment,2021-12-31 23:59:59
